id,english,spanish,portuguese,example_en,example_es,example_pt,source,tags
card-ec84dc4b551d3ceb,standardised longitudinal,evaluación longitudinal estandarizada,avaliação longitudinal padronizada,"In this logistically challenging study, well controlled and standardised longitudinal and cross-sectional assessment was undertaken of infants and children from birth to 71 months of age.",El texto emplea «evaluación longitudinal estandarizada» en un contexto médico.,O texto emprega “avaliação longitudinal padronizada” em um contexto médico.,Extracted from prefinal-c,growth
card-0c0e3102e21ce4f1,descriptive or prescriptive,descriptivo o prescriptivo,descritivo ou prescritivo,Measuring growth: descriptive or prescriptive?.,El texto emplea «descriptivo o prescriptivo» en un contexto médico.,O texto emprega “descritivo ou prescritivo” em um contexto médico.,Extracted from prefinal-c,growth
card-9c44272262b20fa1,deep brain stimulation,estimulación cerebral profunda,estimulação cerebral profunda,Deep Brain Stimulation for Movement Disorders.,El texto emplea «estimulación cerebral profunda» en un contexto médico.,O texto emprega “estimulação cerebral profunda” em um contexto médico.,Extracted from prefinal-e,neurology
card-8e722f0c1615a40c,movement disorders,trastornos del movimiento,transtornos do movimento,Deep Brain Stimulation for Movement Disorders.,El texto emplea «trastornos del movimiento» en un contexto médico.,O texto emprega “transtornos do movimento” em um contexto médico.,Extracted from prefinal-e,neurology
card-2bd7fe6ad199147c,dystonia,distonía,distonia,"Deep brain stimulation (DBS) is a surgical procedure used to treat disabling symptoms of neurological disorders, including dystonia, epilepsy, essential tremor, and Parkinson's disease.",El texto emplea «distonía» en un contexto médico.,O texto emprega “distonia” em um contexto médico.,Extracted from prefinal-e,neurology
card-0f647821be81480c,epilepsy,epilepsia,epilepsia,"Deep brain stimulation (DBS) is a surgical procedure used to treat disabling symptoms of neurological disorders, including dystonia, epilepsy, essential tremor, and Parkinson's disease.",El texto emplea «epilepsia» en un contexto médico.,O texto emprega “epilepsia” em um contexto médico.,Extracted from prefinal-e,neurology
card-d1bd592dbf6da474,essential tremor,temblor esencial,tremor essencial,"Deep brain stimulation (DBS) is a surgical procedure used to treat disabling symptoms of neurological disorders, including dystonia, epilepsy, essential tremor, and Parkinson's disease.",El texto emplea «temblor esencial» en un contexto médico.,O texto emprega “tremor essencial” em um contexto médico.,Extracted from prefinal-e,neurology
card-b9566b8dae0c1abd,Parkinson's disease,enfermedad de Parkinson,doença de Parkinson,"Deep brain stimulation (DBS) is a surgical procedure used to treat disabling symptoms of neurological disorders, including dystonia, epilepsy, essential tremor, and Parkinson's disease.",El texto emplea «enfermedad de Parkinson» en un contexto médico.,O texto emprega “doença de Parkinson” em um contexto médico.,Extracted from prefinal-e,neurology
card-4c06a922cd6763c2,surgical procedure,procedimiento quirúrgico,procedimento cirúrgico,"Deep brain stimulation (DBS) is a surgical procedure used to treat disabling symptoms of neurological disorders, including dystonia, epilepsy, essential tremor, and Parkinson's disease.",El texto emplea «procedimiento quirúrgico» en un contexto médico.,O texto emprega “procedimento cirúrgico” em um contexto médico.,Extracted from prefinal-e,neurology
card-8501d8c9ab570ffc,neurological disorders,trastornos neurológicos,transtornos neurológicos,"Deep brain stimulation (DBS) is a surgical procedure used to treat disabling symptoms of neurological disorders, including dystonia, epilepsy, essential tremor, and Parkinson's disease.",El texto emplea «trastornos neurológicos» en un contexto médico.,O texto emprega “transtornos neurológicos” em um contexto médico.,Extracted from prefinal-e,neurology
card-b281b8f1003f0829,battery-operated medical device,dispositivo médico a batería,dispositivo médico movido a bateria,"DBS uses a surgically implanted, battery-operated medical device called an implantable pulse generator (IPG)—similar to a heart pacemaker and approximately the size of a stopwatch—to deliver electrical stimulation to specific areas in the brain that control movement, which blocks the abnormal nerve signals that cause symptoms..",El texto emplea «dispositivo médico a batería» en un contexto médico.,O texto emprega “dispositivo médico movido a bateria” em um contexto médico.,Extracted from prefinal-e,neurology
card-766fc67a2a0d39a9,implantable pulse generator,generador de impulsos implantable,gerador de pulsos implantável,"DBS uses a surgically implanted, battery-operated medical device called an implantable pulse generator (IPG)—similar to a heart pacemaker and approximately the size of a stopwatch—to deliver electrical stimulation to specific areas in the brain that control movement, which blocks the abnormal nerve signals that cause symptoms..",El texto emplea «generador de impulsos implantable» en un contexto médico.,O texto emprega “gerador de pulsos implantável” em um contexto médico.,Extracted from prefinal-e,neurology
card-3ac2d599689e4c01,heart pacemaker,marcapasos cardíaco,marca-passo cardíaco,"DBS uses a surgically implanted, battery-operated medical device called an implantable pulse generator (IPG)—similar to a heart pacemaker and approximately the size of a stopwatch—to deliver electrical stimulation to specific areas in the brain that control movement, which blocks the abnormal nerve signals that cause symptoms..",El texto emplea «marcapasos cardíaco» en un contexto médico.,O texto emprega “marca-passo cardíaco” em um contexto médico.,Extracted from prefinal-e,neurology
card-1ba958ad94c831e6,electrical stimulation,estimulación eléctrica,estimulação elétrica,"DBS uses a surgically implanted, battery-operated medical device called an implantable pulse generator (IPG)—similar to a heart pacemaker and approximately the size of a stopwatch—to deliver electrical stimulation to specific areas in the brain that control movement, which blocks the abnormal nerve signals that cause symptoms..",El texto emplea «estimulación eléctrica» en un contexto médico.,O texto emprega “estimulação elétrica” em um contexto médico.,Extracted from prefinal-e,neurology
card-af9f76430797a0d6,abnormal nerve signals,señales nerviosas anormales,sinais nervosos anormais,"DBS uses a surgically implanted, battery-operated medical device called an implantable pulse generator (IPG)—similar to a heart pacemaker and approximately the size of a stopwatch—to deliver electrical stimulation to specific areas in the brain that control movement, which blocks the abnormal nerve signals that cause symptoms..",El texto emplea «señales nerviosas anormales» en un contexto médico.,O texto emprega “sinais nervosos anormais” em um contexto médico.,Extracted from prefinal-e,neurology
card-0ba7bc2293192133,electrode,electrodo,eletrodo,"The lead (also called an electrode)—a thin, insulated wire—is inserted through a small opening made in the skull and implanted in the brain.",El texto emplea «electrodo» en un contexto médico.,O texto emprega “eletrodo” em um contexto médico.,Extracted from prefinal-e,neurology
card-e3a9180357efb96f,insulated wire,cable aislado,fio isolado,"The lead (also called an electrode)—a thin, insulated wire—is inserted through a small opening made in the skull and implanted in the brain.",El texto emplea «cable aislado» en un contexto médico.,O texto emprega “fio isolado” em um contexto médico.,Extracted from prefinal-e,neurology
card-8c1a64a5158bd820,skull,cráneo,crânio,"The lead (also called an electrode)—a thin, insulated wire—is inserted through a small opening made in the skull and implanted in the brain.",El texto emplea «cráneo» en un contexto médico.,O texto emprega “crânio” em um contexto médico.,Extracted from prefinal-e,neurology
card-e6f7982b25dc5894,brain area,área cerebral,área cerebral,"The tip of the electrode is positioned within a specific brain area, depending on the disorder.",El texto emplea «área cerebral» en un contexto médico.,O texto emprega “área cerebral” em um contexto médico.,Extracted from prefinal-e,neurology
card-48f5f4c5637b0b67,collarbone,clavícula,clavícula,The IPG (the “battery pack”) is usually implanted under the skin near the collarbone.,El texto emplea «clavícula» en un contexto médico.,O texto emprega “clavícula” em um contexto médico.,Extracted from prefinal-e,neurology
card-1cbb0561b5c5f960,abdomen,abdomen,abdômen,"In some cases, it may be implanted lower in the chest or under the skin over the abdomen..",El texto emplea «abdomen» en un contexto médico.,O texto emprega “abdômen” em um contexto médico.,Extracted from prefinal-e; ing-forms,neurology
card-108de9da8588d149,healing post-surgery,recuperación posquirúrgica,cicatrização pós-cirúrgica,"Once the system is in place, and after a period of healing post-surgery, the device is programmed to sets of parameters that work best for each person, over several visits with a neurologist.",El texto emplea «recuperación posquirúrgica» en un contexto médico.,O texto emprega “cicatrização pós-cirúrgica” em um contexto médico.,Extracted from prefinal-e,neurology
card-ffc71ff0955dcfcd,neurologist,neurólogo,neurologista,"Once the system is in place, and after a period of healing post-surgery, the device is programmed to sets of parameters that work best for each person, over several visits with a neurologist.",El texto emplea «neurólogo» en un contexto médico.,O texto emprega “neurologista” em um contexto médico.,Extracted from prefinal-e,neurology
card-bb5a4086b8d897f2,electrical pulses,impulsos eléctricos,pulsos elétricos,The therapy works by delivering electrical pulses from the IPG along the extension wire and the lead and into the brain.,El texto emplea «impulsos eléctricos» en un contexto médico.,O texto emprega “pulsos elétricos” em um contexto médico.,Extracted from prefinal-e,neurology
card-abdb94f3c7390d34,electrical activity,actividad eléctrica,atividade elétrica,These pulses change the brain's electrical activity pattern at the target site to reduce motor symptoms..,El texto emplea «actividad eléctrica» en un contexto médico.,O texto emprega “atividade elétrica” em um contexto médico.,Extracted from prefinal-e,neurology
card-4a41f0da792d4647,motor symptoms,síntomas motores,sintomas motores,These pulses change the brain's electrical activity pattern at the target site to reduce motor symptoms..,El texto emplea «síntomas motores» en un contexto médico.,O texto emprega “sintomas motores” em um contexto médico.,Extracted from prefinal-e,neurology
card-a36ca8ab8e4fbd05,neurosurgeon,neurocirujano,neurocirurgião,"Before the procedure, a neurosurgeon uses noninvasive diagnostic imaging—either magnetic resonance imaging (MRI) or computed tomography (CT) scanning—to identify and locate the exact target in the brain for the surgery.",El texto emplea «neurocirujano» en un contexto médico.,O texto emprega “neurocirurgião” em um contexto médico.,Extracted from prefinal-e,neurology
card-92520d1bc9bb4c46,noninvasive diagnostic imaging,diagnóstico por imágenes no invasivo,diagnóstico por imagem não invasivo,"Before the procedure, a neurosurgeon uses noninvasive diagnostic imaging—either magnetic resonance imaging (MRI) or computed tomography (CT) scanning—to identify and locate the exact target in the brain for the surgery.",El texto emplea «diagnóstico por imágenes no invasivo» en un contexto médico.,O texto emprega “diagnóstico por imagem não invasivo” em um contexto médico.,Extracted from prefinal-e,neurology
card-8db75186a35196d1,magnetic resonance imaging,resonancia magnética,ressonância magnética,"Before the procedure, a neurosurgeon uses noninvasive diagnostic imaging—either magnetic resonance imaging (MRI) or computed tomography (CT) scanning—to identify and locate the exact target in the brain for the surgery.",El texto emplea «resonancia magnética» en un contexto médico.,O texto emprega “ressonância magnética” em um contexto médico.,Extracted from prefinal-e; simulado-03-post-infectious-mecfs; simulado-06-semaglutide-masld-hiv,neurology
card-d4953cd85ee70b33,computed tomography,tomografía computarizada,tomografia computadorizada,"Before the procedure, a neurosurgeon uses noninvasive diagnostic imaging—either magnetic resonance imaging (MRI) or computed tomography (CT) scanning—to identify and locate the exact target in the brain for the surgery.",El texto emplea «tomografía computarizada» en un contexto médico.,O texto emprega “tomografia computadorizada” em um contexto médico.,Extracted from prefinal-e,neurology
card-a06bb8e36684c63e,microelectrode recording,registro con microelectrodos,registro com microeletrodos,Most surgeons use microelectrode recording—which involves insertion of a tiny wire that monitors the activity of nerve cells—to more specifically identify the precise brain area that will be stimulated..,El texto emplea «registro con microelectrodos» en un contexto médico.,O texto emprega “registro com microeletrodos” em um contexto médico.,Extracted from prefinal-e,neurology
card-9d3567ed13c9abbb,nerve cells,células nerviosas,células nervosas,Most surgeons use microelectrode recording—which involves insertion of a tiny wire that monitors the activity of nerve cells—to more specifically identify the precise brain area that will be stimulated..,El texto emplea «células nerviosas» en un contexto médico.,O texto emprega “células nervosas” em um contexto médico.,Extracted from prefinal-e,neurology
card-f43595f3557cf05e,thalamus,tálamo,tálamo,"For treatment of Parkinson's disease, DBS targets parts of the brain that play a role in the control of movement—the thalamus (which relays and integrates sensory and motor information), subthalamic nucleus (which helps direct movement preparation), or globus pallidus (which helps regulate intended movement).",El texto emplea «tálamo» en un contexto médico.,O texto emprega “tálamo” em um contexto médico.,Extracted from prefinal-e,neurology
card-254e247ee9a799bf,sensory and motor information,información sensorial y motora,informação sensorial e motora,"For treatment of Parkinson's disease, DBS targets parts of the brain that play a role in the control of movement—the thalamus (which relays and integrates sensory and motor information), subthalamic nucleus (which helps direct movement preparation), or globus pallidus (which helps regulate intended movement).",El texto emplea «información sensorial y motora» en un contexto médico.,O texto emprega “informação sensorial e motora” em um contexto médico.,Extracted from prefinal-e,neurology
card-3cfe8ac079a5f90d,subthalamic nucleus,núcleo subtalámico,núcleo subtalâmico,"For treatment of Parkinson's disease, DBS targets parts of the brain that play a role in the control of movement—the thalamus (which relays and integrates sensory and motor information), subthalamic nucleus (which helps direct movement preparation), or globus pallidus (which helps regulate intended movement).",El texto emplea «núcleo subtalámico» en un contexto médico.,O texto emprega “núcleo subtalâmico” em um contexto médico.,Extracted from prefinal-e,neurology
card-c6aa493a179b3a64,movement preparation,preparación del movimiento,preparação do movimento,"For treatment of Parkinson's disease, DBS targets parts of the brain that play a role in the control of movement—the thalamus (which relays and integrates sensory and motor information), subthalamic nucleus (which helps direct movement preparation), or globus pallidus (which helps regulate intended movement).",El texto emplea «preparación del movimiento» en un contexto médico.,O texto emprega “preparação do movimento” em um contexto médico.,Extracted from prefinal-e,neurology
card-a9fd376824f44b1e,globus pallidus,globo pálido,globo pálido,"For treatment of Parkinson's disease, DBS targets parts of the brain that play a role in the control of movement—the thalamus (which relays and integrates sensory and motor information), subthalamic nucleus (which helps direct movement preparation), or globus pallidus (which helps regulate intended movement).",El texto emplea «globo pálido» en un contexto médico.,O texto emprega “globo pálido” em um contexto médico.,Extracted from prefinal-e,neurology
card-bdc27e859a06316e,voluntary movement,movimiento voluntario,movimento voluntário,"DBS for dystonia specifically targets the globus pallidus interna (involved in the regulation of voluntary movement), while DBS for essential tremor targets the thalamus.",El texto emplea «movimiento voluntario» en un contexto médico.,O texto emprega “movimento voluntário” em um contexto médico.,Extracted from prefinal-e,neurology
card-1320b61c959f382d,unwanted side effects,efectos secundarios no deseados,efeitos colaterais indesejados,"If DBS causes unwanted side effects or more promising treatments develop in the future, the IPG can be removed and the DBS procedure can be halted.",El texto emplea «efectos secundarios no deseados» en un contexto médico.,O texto emprega “efeitos colaterais indesejados” em um contexto médico.,Extracted from prefinal-e,neurology
card-335d6238f0674d2f,adjustable,ajustable,ajustável,"Also, stimulation from the IPG is easily adjustable—without further surgery—if the person's condition changes.",El texto emplea «ajustable» en un contexto médico.,O texto emprega “ajustável” em um contexto médico.,Extracted from prefinal-e,neurology
card-cdc1d1e76037a7e2,minimally invasive,mínimamente invasivo,minimamente invasivo,"Although minimally invasive, DBS is a surgical procedure and therefore carries some associated risk.",El texto emplea «mínimamente invasivo» en un contexto médico.,O texto emprega “minimamente invasivo” em um contexto médico.,Extracted from prefinal-e,neurology
card-7fccd1a2b27f2dac,stimulator,estimulador,estimulador,There is a low chance that placement of the stimulator may cause bleeding or infection in the brain.,El texto emplea «estimulador» en un contexto médico.,O texto emprega “estimulador” em um contexto médico.,Extracted from prefinal-e,neurology
card-576f62b30d403bd2,brain tissue,tejido cerebral,tecido cerebral,"Complications of DBS, such as bleeding and swelling of brain tissue, may result from mechanical stress from the device but are generally reversible.",El texto emplea «tejido cerebral» en un contexto médico.,O texto emprega “tecido cerebral” em um contexto médico.,Extracted from prefinal-e,neurology
card-d0346c506315283e,mechanical stress,estrés mecánico,estresse mecânico,"Complications of DBS, such as bleeding and swelling of brain tissue, may result from mechanical stress from the device but are generally reversible.",El texto emplea «estrés mecánico» en un contexto médico.,O texto emprega “estresse mecânico” em um contexto médico.,Extracted from prefinal-e,neurology
card-31a2b0e3d089e317,reversible,reversible,reversível,"Complications of DBS, such as bleeding and swelling of brain tissue, may result from mechanical stress from the device but are generally reversible.",El texto emplea «reversible» en un contexto médico.,O texto emprega “reversível” em um contexto médico.,Extracted from prefinal-e,neurology
card-1ec9d846b3930ffb,numbness,entumecimiento,dormência,"Side effects of the stimulation may include numbness or tingling sensations, behavioral changes, as well as balance or speech problems.",El texto emplea «entumecimiento» en un contexto médico.,O texto emprega “dormência” em um contexto médico.,Extracted from prefinal-e,neurology
card-fa2f43bab25f8e2a,tingling sensations,sensaciones de hormigueo,sensações de formigamento,"Side effects of the stimulation may include numbness or tingling sensations, behavioral changes, as well as balance or speech problems.",El texto emplea «sensaciones de hormigueo» en un contexto médico.,O texto emprega “sensações de formigamento” em um contexto médico.,Extracted from prefinal-e,neurology
card-35df587b9765852b,behavioral changes,cambios conductuales,mudanças comportamentais,"Side effects of the stimulation may include numbness or tingling sensations, behavioral changes, as well as balance or speech problems.",El texto emplea «cambios conductuales» en un contexto médico.,O texto emprega “mudanças comportamentais” em um contexto médico.,Extracted from prefinal-e,neurology
card-99c56fe60f6222f4,speech problems,problemas del habla,problemas da fala,"Side effects of the stimulation may include numbness or tingling sensations, behavioral changes, as well as balance or speech problems.",El texto emplea «problemas del habla» en un contexto médico.,O texto emprega “problemas da fala” em um contexto médico.,Extracted from prefinal-e,neurology
card-52ca37d4f6e4d529,swelling of brain tissue,inflamación del tejido cerebral,inchaço do tecido cerebral,"Complications of DBS, such as bleeding and swelling of brain tissue, may result from mechanical stress from the device but are generally reversible.",El texto emplea «inflamación del tejido cerebral» en un contexto médico.,O texto emprega “inchaço do tecido cerebral” em um contexto médico.,Extracted from prefinal-e,neurology
card-26787dd2f72cc993,hardware,componentes físicos,componentes físicos,"Also, the hardware may erode or break down with use, requiring surgery to replace parts of the device.",El texto emplea «componentes físicos» en un contexto médico.,O texto emprega “componentes físicos” em um contexto médico.,Extracted from prefinal-e,neurology
card-7c0c9b831b94ad2a,three-dose vaccination,vacunación con tres dosis,vacinação com três doses,Three-dose vaccination elicits neutralising antibodies against omicron.,El texto emplea «vacunación con tres dosis» en un contexto médico.,O texto emprega “vacinação com três doses” em um contexto médico.,Extracted from prefinal-f,vaccination
card-43d5ddbaf9a06ba9,neutralising antibodies,anticuerpos neutralizantes,anticorpos neutralizantes,Three-dose vaccination elicits neutralising antibodies against omicron.,El texto emplea «anticuerpos neutralizantes» en un contexto médico.,O texto emprega “anticorpos neutralizantes” em um contexto médico.,Extracted from prefinal-f,vaccination
card-b9eb582343fd7844,variant of concern,variante de preocupación,variante de preocupação,"529 variant of concern (VOC), was first detected in southern Africa in November, 2021, and its BA.",El texto emplea «variante de preocupación» en un contexto médico.,O texto emprega “variante de preocupação” em um contexto médico.,Extracted from prefinal-f,vaccination
card-3b864c8b83e012b9,sub-lineage,sublinaje,sub-linhagem,1 sub-lineage is now dominant in the UK.,El texto emplea «sublinaje» en un contexto médico.,O texto emprega “sub-linhagem” em um contexto médico.,Extracted from prefinal-f,vaccination
card-a4adac2a57c11691,transmissibility,transmisibilidad,transmissibilidade,It is unclear to what extent its spread is driven by an intrinsic increase in transmissibility or escape from previous infection-induced and vaccine-induced immunity..,El texto emplea «transmisibilidad» en un contexto médico.,O texto emprega “transmissibilidade” em um contexto médico.,Extracted from prefinal-f,vaccination
card-332de117ef4f947c,vaccine-induced immunity,inmunidad inducida por la vacuna,imunidade induzida pela vacina,It is unclear to what extent its spread is driven by an intrinsic increase in transmissibility or escape from previous infection-induced and vaccine-induced immunity..,El texto emplea «inmunidad inducida por la vacuna» en un contexto médico.,O texto emprega “imunidade induzida pela vacina” em um contexto médico.,Extracted from prefinal-f,vaccination
card-55c92e46c5b867e8,primary two-dose course,esquema primario de dos dosis,esquema primário de duas doses,"In the UK, the Pfizer–BioNTech and Oxford–AstraZeneca COVID-19 vaccines were administered as part of a primary two-dose course.",El texto emplea «esquema primario de dos dosis» en un contexto médico.,O texto emprega “esquema primário de duas doses” em um contexto médico.,Extracted from prefinal-f,vaccination
card-271375f3e7683353,third dose,tercera dosis,terceira dose,"A subsequent third dose of either Pfizer–BioNTech or Moderna vaccine has been administered since September, 2021.",El texto emplea «tercera dosis» en un contexto médico.,O texto emprega “terceira dose” em um contexto médico.,Extracted from prefinal-f,vaccination
card-b81220b3b29fca8e,booster campaign,campaña de refuerzo,campanha de reforço,"In September, 2021, the UK initiated a targeted third-dose booster campaign.",El texto emplea «campaña de refuerzo» en un contexto médico.,O texto emprega “campanha de reforço” em um contexto médico.,Extracted from prefinal-f,vaccination
card-6643d0f5563d11f4,neutralisation assay,ensayo de neutralización,ensaio de neutralização,"Using a high-throughput live SARS-CoV-2 neutralisation assay, we determined neutralising antibody (NAb) titres (NAbTs) against omicron in 620 serum samples from 364 unique participants and compared these to NAbTs against alpha and delta VOCs, for which there is significant vaccine efficacy data correlated with NAbTs..",El texto emplea «ensayo de neutralización» en un contexto médico.,O texto emprega “ensaio de neutralização” em um contexto médico.,Extracted from prefinal-f,vaccination
card-77ec8d5dee902f7a,serum samples,muestras de suero,amostras de soro,"Using a high-throughput live SARS-CoV-2 neutralisation assay, we determined neutralising antibody (NAb) titres (NAbTs) against omicron in 620 serum samples from 364 unique participants and compared these to NAbTs against alpha and delta VOCs, for which there is significant vaccine efficacy data correlated with NAbTs..",El texto emplea «muestras de suero» en un contexto médico.,O texto emprega “amostras de soro” em um contexto médico.,Extracted from prefinal-f,vaccination
card-4288d792ee03b775,inhibitory concentration,concentración inhibitoria,concentração inibitória,"In participants sampled 2–6 weeks after two-dose vaccination with Pfizer–BioNTech, most (83%) had a quantifiable NAbT against omicron (median 50% inhibitory concentration [IC50] 122), which was seven fold lower than NAbTs against alpha (median IC50 600) and three fold lower than NAbTs against delta (median IC50 301).",El texto emplea «concentración inhibitoria» en un contexto médico.,O texto emprega “concentração inibitória” em um contexto médico.,Extracted from prefinal-f,vaccination
card-1fcc803dba04ed14,quantifiable,cuantificable,quantificável,"In participants sampled 2–6 weeks after two-dose vaccination with Pfizer–BioNTech, most (83%) had a quantifiable NAbT against omicron (median 50% inhibitory concentration [IC50] 122), which was seven fold lower than NAbTs against alpha (median IC50 600) and three fold lower than NAbTs against delta (median IC50 301).",El texto emplea «cuantificable» en un contexto médico.,O texto emprega “quantificável” em um contexto médico.,Extracted from prefinal-f,vaccination
card-24d8b5b470fb95a7,detectable NAbTs,títulos de anticuerpos detectables,títulos de anticorpos detectáveis,"Before receiving their third dose, 42% participants had detectable NAbTs against omicron, whereas nearly all participants (96%) neutralised omicron after a third dose, with a median IC50 of 332.",El texto emplea «títulos de anticuerpos detectables» en un contexto médico.,O texto emprega “títulos de anticorpos detectáveis” em um contexto médico.,Extracted from prefinal-f,vaccination
card-2df4d6807a6bacfb,vaccine efficacy,eficacia de la vacuna,eficácia da vacina,"Using a high-throughput live SARS-CoV-2 neutralisation assay, we determined neutralising antibody (NAb) titres (NAbTs) against omicron in 620 serum samples from 364 unique participants and compared these to NAbTs against alpha and delta VOCs, for which there is significant vaccine efficacy data correlated with NAbTs..",El texto emplea «eficacia de la vacuna» en un contexto médico.,O texto emprega “eficácia da vacina” em um contexto médico.,Extracted from prefinal-f,vaccination
card-3221acbf4862220f,correlated with,correlacionado con,correlacionado com,"Using a high-throughput live SARS-CoV-2 neutralisation assay, we determined neutralising antibody (NAb) titres (NAbTs) against omicron in 620 serum samples from 364 unique participants and compared these to NAbTs against alpha and delta VOCs, for which there is significant vaccine efficacy data correlated with NAbTs..",El texto emplea «correlacionado con» en un contexto médico.,O texto emprega “correlacionado com” em um contexto médico.,Extracted from prefinal-f,vaccination
card-c4e73f7bb6951e5b,seven fold lower,siete veces menor,sete vezes menor,"In participants sampled 2–6 weeks after two-dose vaccination with Pfizer–BioNTech, most (83%) had a quantifiable NAbT against omicron (median 50% inhibitory concentration [IC50] 122), which was seven fold lower than NAbTs against alpha (median IC50 600) and three fold lower than NAbTs against delta (median IC50 301).",El texto emplea «siete veces menor» en un contexto médico.,O texto emprega “sete vezes menor” em um contexto médico.,Extracted from prefinal-f,vaccination
card-478835f2e143d2b2,second dose,segunda dosis,segunda dose,The drop in omicron NAbT in the 10 weeks after the second dose was significant..,El texto emplea «segunda dosis» en un contexto médico.,O texto emprega “segunda dose” em um contexto médico.,Extracted from prefinal-f,vaccination
card-5e03c2668f791a6d,health-care workers,trabajadores de la salud,profissionais de saúde,"These groups included health-care workers, individuals older than 50 years, and clinically vulnerable people.",El texto emplea «trabajadores de la salud» en un contexto médico.,O texto emprega “profissionais de saúde” em um contexto médico.,Extracted from prefinal-f,vaccination
card-4bb8e296ffe0ee98,clinically vulnerable people,personas clínicamente vulnerables,pessoas clinicamente vulneráveis,"These groups included health-care workers, individuals older than 50 years, and clinically vulnerable people.",El texto emplea «personas clínicamente vulnerables» en un contexto médico.,O texto emprega “pessoas clinicamente vulneráveis” em um contexto médico.,Extracted from prefinal-f,vaccination
card-2b7da9ec57cc31b1,post-vaccination,posterior a la vacunación,pós-vacinação,"After a third dose of Pfizer–BioNTech, NAbTs against omicron at roughly 3 weeks post-vaccination were only four-fold lower than against alpha and only two fold lower than against delta..",El texto emplea «posterior a la vacunación» en un contexto médico.,O texto emprega “pós-vacinação” em um contexto médico.,Extracted from prefinal-f,vaccination
card-e32904118448d7b3,neutralising response,respuesta neutralizante,resposta neutralizante,The broad neutralising response observed suggests urgent global action to deliver three-dose vaccination might increase population immunity against current VOCs (including omicron) and help prevent the emergence of new variants.,El texto emplea «respuesta neutralizante» en un contexto médico.,O texto emprega “resposta neutralizante” em um contexto médico.,Extracted from prefinal-f,vaccination
card-63746f22fbac96d2,population immunity,inmunidad poblacional,imunidade populacional,The broad neutralising response observed suggests urgent global action to deliver three-dose vaccination might increase population immunity against current VOCs (including omicron) and help prevent the emergence of new variants.,El texto emplea «inmunidad poblacional» en un contexto médico.,O texto emprega “imunidade populacional” em um contexto médico.,Extracted from prefinal-f,vaccination
card-42c6e0685e91b77f,new variants,nuevas variantes,novas variantes,The broad neutralising response observed suggests urgent global action to deliver three-dose vaccination might increase population immunity against current VOCs (including omicron) and help prevent the emergence of new variants.,El texto emplea «nuevas variantes» en un contexto médico.,O texto emprega “novas variantes” em um contexto médico.,Extracted from prefinal-f,vaccination
card-b1682df56369f05f,vaccine doses,dosis de vacuna,doses de vacina,"Our results show that two vaccine doses, of Oxford–AstraZeneca in particular, are insufficient to generate a strong NAb response against omicron.",El texto emplea «dosis de vacuna» en un contexto médico.,O texto emprega “doses de vacina” em um contexto médico.,Extracted from prefinal-f,vaccination
card-1dfd81647d744b61,Pfizer–BioNTech,Pfizer–BioNTech,Pfizer–BioNTech,"In the UK, the Pfizer–BioNTech and Oxford–AstraZeneca COVID-19 vaccines were administered as part of a primary two-dose course.",El texto emplea «Pfizer–BioNTech» en un contexto médico.,O texto emprega “Pfizer–BioNTech” em um contexto médico.,Extracted from prefinal-f,vaccination
card-ec775ceeef4bdb27,Oxford–AstraZeneca,Oxford–AstraZeneca,Oxford–AstraZeneca,"In the UK, the Pfizer–BioNTech and Oxford–AstraZeneca COVID-19 vaccines were administered as part of a primary two-dose course.",El texto emplea «Oxford–AstraZeneca» en un contexto médico.,O texto emprega “Oxford–AstraZeneca” em um contexto médico.,Extracted from prefinal-f,vaccination
card-cb9606b292e9182d,Moderna vaccine,vacuna de Moderna,vacina da Moderna,"A subsequent third dose of either Pfizer–BioNTech or Moderna vaccine has been administered since September, 2021.",El texto emplea «vacuna de Moderna» en un contexto médico.,O texto emprega “vacina da Moderna” em um contexto médico.,Extracted from prefinal-f,vaccination
card-439003d0d54d022f,omicron,ómicron,ômicron,Three-dose vaccination elicits neutralising antibodies against omicron.,El texto emplea «ómicron» en un contexto médico.,O texto emprega “ômicron” em um contexto médico.,Extracted from prefinal-f,vaccination
card-d94c6dcf2fb55732,alpha and delta,alfa y delta,alfa e delta,"Using a high-throughput live SARS-CoV-2 neutralisation assay, we determined neutralising antibody (NAb) titres (NAbTs) against omicron in 620 serum samples from 364 unique participants and compared these to NAbTs against alpha and delta VOCs, for which there is significant vaccine efficacy data correlated with NAbTs..",El texto emplea «alfa y delta» en un contexto médico.,O texto emprega “alfa e delta” em um contexto médico.,Extracted from prefinal-f,vaccination
card-589f66478173471b,high-throughput,de alto rendimiento,de alto rendimento,"Using a high-throughput live SARS-CoV-2 neutralisation assay, we determined neutralising antibody (NAb) titres (NAbTs) against omicron in 620 serum samples from 364 unique participants and compared these to NAbTs against alpha and delta VOCs, for which there is significant vaccine efficacy data correlated with NAbTs..",El texto emplea «de alto rendimiento» en un contexto médico.,O texto emprega “de alto rendimento” em um contexto médico.,Extracted from prefinal-f,vaccination
